lat,lon,display_name,airportcode
40.6895,-74.1745,EWR,EWR
-37.0082,174.785,Auckland(AKL),AKL
-31.9385,115.9672,Perth(PER),PER
41.9742,-87.9073,Chicago O'Hare(ORD),ORD
33.9416,-118.4085,Los Angeles(LAX),LAX
29.9902,-95.3368,Houston(IAH),IAH
32.8998,-97.0403,Dallas(DFW),DFW
40.6413,-73.7781,JFK,JFK
37.6213,-122.379,San Francisco(SFO),SFO
-26.1367,28.2411,Johannesburg(JNB),JNB
1.3644,103.9915,Singapre(SIN),SIN 
25.2647,51.5596,Doha(DOH),DOH
51.47,-0.4543,London Heathrow(LHR),LHR
-27.3942,153.1218,Brisbane(BNE),BNE
25.2532,55.3657,Dubai(DXB),DXB
-33.9399,151.1753,Sydney(SYD),SYD
14.5123,121.0165,Manila(MNL),MNL
33.6407,-84.4277,Atlanta(ATL),ATL
